From the Audobon Societal Report on Bird Migration - http://web4.audubon.org/bird/bacc/techreport.html as reported on by the EPA,,,,,,,,,,,,,,,,,,,
"List of 305 species included in the analysis, along with their habitat guild classification, latitudinal distances moved, change in average distance from the coast, and continental population trend estimates.",,,,,,,,,,,,,,,,,,,
Species,Scientific_name,Habitat Guild (3 classes),Habitat Guild (5 classes),Feeder use,Mean latitude (40-year ave from regression),Latitudinal distance moved (miles),Lat. direction moved,F-value latitude slope,p-value slope,Mean dist. from coast (40-yr ave. from regression),Change in mean dist. from coast (miles),Shifted inland or to coast,F-value slope dist. to coast,p-value slope dist. to coast,# state or province strata,40-year Median Trend (% change per year),95% LCI Trend,95% UCI Trend,% of hemispheric range in CBC survey area
Long-billed Dowitcher,Limnodromus scolopaceus,wetland/aquatic,wetland/aquatic,rarely/never,35.23,5.7,N,0.05,0.8238,159.2,-22.9,to coast,10.5,0.0025,23,4.4,-0.1,7.3,38.5
Wilson's Snipe,Gallinago delicata,wetland/aquatic,wetland/aquatic,rarely/never,35.48,18,N,2.13,0.1525,233.2,6.3,inland,2.81,0.1019,53,-1.43,-2,-0.9,57.8
American Woodcock,Scolopax minor,wetland/aquatic,wetland/aquatic,rarely/never,33.26,52.7,N,44.78,<0.0001,163.2,23.3,inland,75.05,<0.0001,29,-0.99,-1.8,-0.2,98.9
Laughing Gull,Larus atricilla,coastal,coastal,rarely/never,29.88,69,N,205.78,<0.0001,,,,,,17,5.9,4.2,7.8,7.4
Black-headed Gull,Larus ridibundus,coastal,coastal,rarely/never,44.98,33.4,N,135.54,<0.0001,,,,,,12,2.9,-1.3,5.5,23.6
Bonaparte's Gull,Larus philadelphia,wetland/aquatic,wetland/aquatic,rarely/never,36.91,-238.2,S,63.13,<0.0001,179.2,185.4,inland,179.88,<0.0001,43,1.9,-0.5,4.2,62.1
Mew Gull,Larus canus,coastal,coastal,rarely/never,50.36,-96.7,S,82.71,<0.0001,,,,,,8,0.5,-0.8,1.7,97.6
Ring-billed Gull,Larus delawarensis,wetland/aquatic,wetland/aquatic,rarely/never,34.02,355.8,N,174.42,<0.0001,170,147.4,inland,85.55,<0.0001,51,3.6,2.4,4.5,57.6
California Gull,Larus californicus,wetland/aquatic,wetland/aquatic,rarely/never,38.19,-38.7,S,31.38,<0.0001,141.2,23.8,inland,65.26,<0.0001,15,4.5,3.5,5.6,6.4
Herring Gull,Larus argentatus,wetland/aquatic,wetland/aquatic,rarely/never,43.4,23.8,N,9.48,0.0039,134.2,97.3,inland,39.32,<0.0001,50,-0.61,-1.4,0.2,58.4
"""Iceland"" Gull (lumped)",,wetland/aquatic,wetland/aquatic,rarely/never,46.23,-0.1,S,0,0.9889,134.6,-14.2,to coast,1.45,0.2364,21,4.7,2.6,6.4,31.4
Glaucous-winged Gull,Larus glaucescens,coastal,coastal,rarely/never,52.75,-28.2,S,42.77,<0.0001,,,,,,5,1.1,0,2.2,19.5
Glaucous Gull,Larus hyperboreus,wetland/aquatic,wetland/aquatic,rarely/never,47.59,-98.9,S,169.99,<0.0001,274.4,89.7,inland,568.55,<0.0001,37,0.9,-0.7,2.5,14.8
Great Black-backed Gull,Larus marinus,wetland/aquatic,wetland/aquatic,rarely/never,43.85,-23.5,S,12.61,0.001,88.1,76.6,inland,195.11,<0.0001,26,1.9,0.9,3,79.8
Caspian Tern,Hydroprogne caspia,coastal,coastal,rarely/never,31.27,-9.2,S,37.3,<0.0001,,,,,,9,-0.04,-1.6,1.1,12
Forster's Tern,,wetland/aquatic,wetland/aquatic,rarely/never,31.09,44.4,N,75.99,<0.0001,128.8,77.6,inland,127.53,<0.0001,22,3.6,2.5,4.8,12.9
Royal Tern,Thalasseus maximus,coastal,coastal,rarely/never,31.26,1.2,N,0.14,0.7118,,,,,,10,0.9,-0.2,2.2,5.7
Common Murre,Uria aalge,coastal,coastal,rarely/never,48.02,22.4,N,0.06,0.8108,,,,,,10,-6.75,-13.6,-3,1.9
Marbled Murrelet,Brachyramphus marmoratus,coastal,coastal,rarely/never,54.71,361.9,N,726.44,<0.0001,,,,,,5,-0.87,-3.4,1.7,2.7
Band-tailed Pigeon,Patagioenas fasciata,land-based,woodland,regularly,38.93,69.5,N,4.18,0.0478,127.1,0.6,inland,0.73,0.3993,8,-0.39,-2.5,1.6,23.8
White-winged Dove,Zenaida asiatica,land-based,generalist,regularly,32.76,-171.2,S,315.24,<0.0001,313.6,-49.8,to coast,24.2,<0.0001,8,18.3,14.4,22,25
Mourning Dove,Zenaida macroura,land-based,generalist,regularly,36.68,147.3,N,180.05,<0.0001,289.8,26.7,inland,13.67,0.0007,54,2.5,2.2,2.8,73.1
Inca Dove,Columbina inca,land-based,shrubland,regularly,32.4,-46.7,S,200.87,<0.0001,290.4,-33.1,to coast,317.84,<0.0001,9,4,3,5.1,32.9
Common Ground-Dove,Columbina passerina,land-based,shrubland,occasionally,30.15,89.6,N,105.87,<0.0001,94.6,75.7,inland,68.14,<0.0001,12,-4.14,-5,-3.3,17.5
Greater Roadrunner,Geococcyx californianus,land-based,shrubland,occasionally,34.15,-3,S,0.38,0.5437,375.5,17.9,inland,16.68,0.0002,11,0.1,-0.5,0.6,62.2
Barn Owl,Tyto alba,land-based,grassland,rarely/never,37.34,107.1,N,205.18,<0.0001,211.9,38.9,inland,84.25,<0.0001,37,1,0.5,1.6,23.1
"""Screech"" Owl (lumped)",,land-based,woodland,rarely/never,37.7,75.2,N,84.58,<0.0001,370.7,36.5,inland,47.3,<0.0001,50,1.3,0.9,1.7,86.5
Great Horned Owl,Bubo virginianus,land-based,woodland,rarely/never,40.38,-43.1,S,108.8,<0.0001,536.4,-86.5,to coast,609.88,<0.0001,55,0.4,0.2,0.7,37.2
Snowy Owl,Bubo scandiacus,land-based,grassland,rarely/never,49.1,-9.9,S,0.37,0.5482,675.2,114.8,inland,10.16,0.0029,33,-2.12,-3.2,-1.1,62
Northern Hawk Owl,Surnia ulula,land-based,woodland,rarely/never,50.75,-155,S,13.98,0.0006,412.8,89.8,inland,5.8,0.021,10,3.3,-0.4,6.1,18.1
Northern Pygmy-Owl,Glaucidium gnoma,land-based,woodland,rarely/never,45.87,163.6,N,23.59,<0.0001,290.6,-1.9,to coast,0.01,0.9131,14,0.1,-1.3,1.2,68.4
Burrowing Owl,Athene cunicularia,land-based,grassland,rarely/never,35.11,-80.4,S,165.96,<0.0001,224.5,49.8,inland,171.77,<0.0001,10,-0.95,-1.8,-0.2,9.8
Barred Owl,Strix varia,land-based,woodland,rarely/never,36.23,103.8,N,528.74,<0.0001,363.7,53.5,inland,452.25,<0.0001,47,1.5,1.2,1.8,77.8
Great Gray Owl,Strix nebulosa,land-based,woodland,rarely/never,49.35,-63.2,S,3.16,0.0834,546.4,-35.6,to coast,0.59,0.446,10,3,-1.5,6.2,27.2
Long-eared Owl,Asio otus,land-based,woodland,rarely/never,41.36,9.8,N,2.31,0.1368,624.5,-52.8,to coast,64.43,<0.0001,44,-0.91,-2.1,0.1,71.7
Short-eared Owl,Asio flammeus,land-based,grassland,rarely/never,43.23,-207.4,S,45.03,<0.0001,481.4,-58.1,to coast,12.78,0.001,54,-3.46,-4.5,-2.3,48.7
Northern Saw-whet Owl,Aegolius acadicus,land-based,woodland,rarely/never,44.73,168.3,N,73.34,<0.0001,342.2,-43.1,to coast,20.39,<0.0001,44,2.1,-3,3.8,87.2
Anna's Hummingbird,Calypte anna,land-based,woodland,regularly,37.25,2.2,N,0.24,0.6246,143.6,20.9,inland,269.09,<0.0001,10,3,2.4,3.6,83.7
Belted Kingfisher,Megaceryle alcyon,wetland/aquatic,wetland/aquatic,rarely/never,36.9,98.2,N,119.11,<0.0001,263.5,31.8,inland,103.14,<0.0001,53,0.8,0.6,0.9,70.6
Lewis's Woodpecker,Melanerpes lewis,land-based,woodland,rarely/never,38.69,-230.8,S,183.89,<0.0001,455.4,41.2,inland,2.82,0.1013,12,-3.17,-5.1,-1.7,92.9
Red-headed Woodpecker,Melanerpes erythrocephalus,land-based,woodland,occasionally,37,-170.3,S,99.35,<0.0001,455,-163.3,to coast,86.05,<0.0001,40,-1.25,-1.9,-0.7,99.5
Acorn Woodpecker,Melanerpes formicivorus,land-based,woodland,occasionally,37.17,-5,S,5.43,0.0252,155,-3.7,to coast,1.65,0.2073,5,0.5,0,1,29.8
Red-bellied Woodpecker,Melanerpes carolinus,land-based,woodland,regularly,36.19,59.7,N,212.95,<0.0001,367.8,18.7,inland,34.48,<0.0001,42,1.8,1.6,2,99.4
Williamson's Sapsucker,Sphyrapicus thyroideus,land-based,woodland,rarely/never,35.7,50.5,N,97.4,<0.0001,394.6,65,inland,24.63,<0.0001,7,0.3,-1.3,1.9,47.2
"""Yellow-bellied"" Sapsucker (lumped)",,land-based,woodland,occasionally,34.25,50.1,N,25.64,<0.0001,217.3,13.5,inland,9.05,0.0046,50,0.2,-0.1,0.4,53.2
Ladder-backed Woodpecker,Picoides scalaris,land-based,woodland,occasionally,33.14,14.9,N,72.21,<0.0001,360.5,15.5,inland,26.55,<0.0001,8,0.3,-0.1,0.7,36.1
Downy Woodpecker,Picoides pubescens,land-based,woodland,regularly,40.86,29.3,N,51.8,<0.0001,493.7,13.1,inland,13.45,0.0007,55,1,0.8,1.1,69.6
Hairy Woodpecker,Picoides villosus,land-based,woodland,regularly,43.14,135.2,N,803.56,<0.0001,535,16.8,inland,10.48,0.0025,55,0.5,0.3,0.6,64.1
Red-cockaded Woodpecker,Picoides borealis,land-based,woodland,rarely/never,32.63,78.2,N,2073.5,<0.0001,127.1,-28.4,to coast,459.96,<0.0001,8,-5.4,-7.7,-3.5,98.6
American Three-toed Woodpecker,Picoides dorsalis,land-based,woodland,rarely/never,50.84,203.1,N,59.96,<0.0001,348.1,-127,to coast,68.5,<0.0001,16,0.4,-15.4,2,26.3
Black-backed Woodpecker,Picoides arcticus,land-based,woodland,rarely/never,47.78,100.9,N,138.99,<0.0001,491.6,134.4,inland,84.98,<0.0001,20,-0.25,-1.9,1.2,36.3
Northern Flicker,Colaptes auratus,land-based,woodland,regularly,38.45,192.5,N,437.12,<0.0001,354.3,54.6,inland,132.98,<0.0001,55,-0.24,-0.4,0,88.5
Pileated Woodpecker,Dryocopus pileatus,land-based,woodland,regularly,37.36,125.3,N,772.74,<0.0001,286.5,39,inland,193.98,<0.0001,45,1.5,1.3,1.7,76.1
Black Phoebe,Sayornis nigricans,wetland/aquatic,wetland/aquatic,rarely/never,36.51,40.6,N,152.27,<0.0001,190.7,-38.4,to coast,73.45,<0.0001,7,3.8,3.3,4.2,14.7
Eastern Phoebe,Sayornis phoebe,land-based,woodland,rarely/never,31.97,47.9,N,62.62,<0.0001,159.3,35.8,inland,82.93,<0.0001,35,3,2.7,3.4,66.7
Say's Phoebe,Sayornis saya,land-based,generalist,rarely/never,35.37,29.9,N,40.03,<0.0001,323.8,-24.4,to coast,13.8,0.0007,13,1.4,0.9,1.9,37.9
Vermilion Flycatcher,Pyrocephalus rubinus,land-based,shrubland,rarely/never,33.02,22.4,N,3.46,0.0707,309.2,9.8,inland,1.76,0.1925,10,0.5,-0.3,1.4,3.5
Loggerhead Shrike,Lanius ludovicianus,land-based,shrubland,occasionally,33,-46.5,S,121.71,<0.0001,256,-32.5,to coast,186.08,<0.0001,44,-2.7,-3,-2.5,70.2
Northern Shrike,Lanius excubitor,land-based,shrubland,occasionally,45.37,11.8,N,1.87,0.1791,565.9,74.4,inland,50.81,<0.0001,46,-0.79,-1.2,-0.4,83.4
White-eyed Vireo,Vireo griseus,land-based,shrubland,rarely/never,30.04,67.6,N,177.94,<0.0001,89.8,78.9,inland,123.71,<0.0001,17,0.3,-0.3,0.9,46
"""Solitary"" Vireo (lumped)",,land-based,woodland,rarely/never,31.54,19.4,N,28.18,<0.0001,135.5,-0.4,to coast,0.02,0.8885,17,3.5,2.9,4,38.5
Hutton's Vireo,Vireo huttoni,land-based,woodland,rarely/never,40.55,44.5,N,11.72,0.0015,164,21.2,inland,81.68,<0.0001,7,2,1.3,2.7,37.5
Gray Jay,Perisoreus canadensis,land-based,woodland,regularly,49.89,15.1,N,2.87,0.0986,326,13,inland,1.09,0.3031,25,-1.12,-2.1,-0.3,26.4
Steller's Jay,Cyanocitta stelleri,land-based,woodland,regularly,45.07,264.4,N,25.66,<0.0001,266.3,-83.1,to coast,16.09,0.0003,16,2.2,1.4,2.9,78.6
Blue Jay,Cyanocitta cristata,land-based,woodland,regularly,39.55,89.1,N,76.76,<0.0001,400.5,55.6,inland,60.58,<0.0001,52,0.6,0.4,0.7,85.1
"""Scrub"" Jay (lumped)",,land-based,shrubland,regularly,37.23,45.8,N,57.07,<0.0001,244.2,34.4,inland,6.74,0.0134,12,0.4,0,1.1,74.9
Pinyon Jay,Gymnorhinus cyanocephalus,land-based,woodland,regularly,38.54,41.6,N,26.01,<0.0001,518.7,-106,to coast,358.52,<0.0001,11,0.3,-3.2,4.5,99.3
Clark's Nutcracker,Nucifraga columbiana,land-based,woodland,occasionally,45.02,123.6,N,44.06,<0.0001,492.7,-44.9,to coast,22.21,<0.0001,15,0.8,-0.8,2.3,99.1
Black-billed Magpie,Pica hudsonia,land-based,woodland,regularly,44.83,85.6,N,247.63,<0.0001,621.2,-25.1,to coast,62.29,<0.0001,22,0.4,0,0.7,72.8
American Crow,Corvus brachyrhynchos,land-based,generalist,regularly,39.41,88.8,N,650.15,<0.0001,397,31.5,inland,96.92,<0.0001,54,2.4,2.1,2.7,97.4
Fish Crow,Corvus ossifragus,wetland/aquatic,wetland/aquatic,rarely/never,29.66,15.1,N,6.86,0.0126,33,5,inland,5.63,0.0228,21,1.1,0,2.2,98.9
Common Raven,Corvus corax,land-based,generalist,regularly,46.74,-135.7,S,347.1,<0.0001,310.1,110.8,inland,1461.88,<0.0001,38,3.9,3.5,4.4,31.5
Horned Lark,Eremophila alpestris,land-based,grassland,occasionally,39.57,4.8,N,0.07,0.7941,613.5,53.8,inland,6.94,0.0121,54,-2.8,-4.9,-1.1,87.4
Tree Swallow,Tachycineta bicolor,land-based,generalist,rarely/never,29.25,59.1,N,63.94,<0.0001,30,23,inland,61.1,<0.0001,22,0.6,-1.6,2.8,14.6
Carolina Chickadee,Poecile carolinensis,land-based,woodland,regularly,35.13,-14.4,S,36.93,<0.0001,273.7,-3.6,to coast,4.78,0.035,22,0.8,0.5,1,99.7
Black-capped Chickadee,Poecile atricapillus,land-based,woodland,regularly,45.36,90.3,N,342.22,<0.0001,517.3,-9.4,to coast,1.46,0.2348,45,2.1,1.9,2.4,66.2
Mountain Chickadee,Poecile gambeli,land-based,woodland,regularly,41.96,67,N,5.79,0.0211,574.9,28.7,inland,4.14,0.0489,15,-0.66,-1.8,0.3,95.8
Chestnut-backed Chickadee,Poecile rufescens,land-based,woodland,regularly,48.2,123.2,N,80.23,<0.0001,130.3,0.4,inland,0.03,0.8593,7,1.7,1,2.4,93.3
Boreal Chickadee,Poecile hudsonica,land-based,woodland,regularly,49.77,279.4,N,1120.61,<0.0001,260.6,116.7,inland,93.29,<0.0001,21,-1.73,-3.7,-0.5,18.3
"""Plain"" Titmouse (lumped)",,land-based,woodland,regularly,37.11,4.3,N,2.39,0.1305,218.5,12.6,inland,5.77,0.0213,9,0,-0.6,0.5,97.8
"""Tufted"" Titmouse (lumped)",,land-based,woodland,regularly,36.84,27,N,37.28,<0.0001,334.1,-33.2,to coast,74.14,<0.0001,35,0.8,0.6,1,54.3
Verdin,Auriparus flaviceps,land-based,shrubland,occasionally,34.26,12.8,N,12.68,0.001,368.4,31.1,inland,189.49,<0.0001,5,1.4,0.5,2.4,42.3
Bushtit,Psaltriparus minimus,land-based,generalist,regularly,39.04,-30.9,S,19.55,<0.0001,203.5,11.9,inland,2.14,0.152,12,0.6,-0.3,1.6,71.3
Red-breasted Nuthatch,Sitta canadensis,land-based,woodland,regularly,44.84,244.4,N,50.51,<0.0001,408.1,51.9,inland,9.73,0.0035,55,3.7,3.3,4.1,78.1
White-breasted Nuthatch,Sitta carolinensis,land-based,woodland,regularly,41.83,-16.8,S,14.4,0.0005,560.2,17,inland,4.23,0.0467,54,1.8,1.7,2,88.1
Pygmy Nuthatch,Sitta pygmaea,land-based,woodland,regularly,41.7,265.5,N,220.68,<0.0001,443.6,-64.5,to coast,51.54,<0.0001,13,0,-2.3,1.9,80.6
Brown-headed Nuthatch,Sitta pusilla,land-based,woodland,regularly,33.22,23,N,114.04,<0.0001,134.2,2.6,inland,3.88,0.0562,14,0.7,-0.1,1.4,99.1
Brown Creeper,Certhia americana,land-based,woodland,regularly,40.79,103.8,N,84.39,<0.0001,422.8,25.2,inland,14.61,0.0005,55,0.4,0.1,0.6,78.2
Cactus Wren,Campylorhynchus brunneicapillus,land-based,shrubland,regularly,33.86,49.9,N,36.09,<0.0001,347.4,39.1,inland,91.32,<0.0001,5,-0.07,-1.1,0.8,42.8
Rock Wren,Salpinctes obsoletus,land-based,generalist,rarely/never,35.19,10.6,N,5.01,0.0311,370.7,31.7,inland,56.96,<0.0001,13,0,-0.6,0.7,54.6
Canyon Wren,Catherpes mexicanus,land-based,generalist,rarely/never,36.12,94,N,120.83,<0.0001,399.3,55.4,inland,127.47,<0.0001,14,0.1,-0.6,0.8,67.8
Carolina Wren,Thryothorus ludovicianus,land-based,woodland,regularly,34.55,57,N,18.6,0.0001,220.1,34,inland,9.41,0.004,36,2.2,1.9,2.5,88.6
Bewick's Wren,Thryomanes bewickii,land-based,shrubland,regularly,37.68,54.8,N,17.89,0.0001,259.2,28.7,inland,50.1,<0.0001,25,0,-0.3,0.4,70
House Wren,Troglodytes aedon,land-based,woodland,occasionally,31.97,34.1,N,28.72,<0.0001,166.2,11.8,inland,5.07,0.0303,40,0.7,0.2,1.2,6.6
Winter Wren,Troglodytes troglodytes,land-based,woodland,occasionally,43.65,138.8,N,41.19,<0.0001,189.1,-6.5,to coast,1.79,0.189,52,1.4,1,1.8,96.8
Sedge Wren,Cistothorus platensis,wetland/aquatic,wetland/aquatic,rarely/never,31.6,5.1,N,2.06,0.1594,151.6,34,inland,43.29,<0.0001,19,1.8,0.8,2.8,17.2
Marsh Wren,Cistothorus palustris,wetland/aquatic,wetland/aquatic,rarely/never,37.45,25.2,N,6.62,0.0141,268.1,12.7,inland,6.52,0.0148,44,1.7,1,2.3,61.5
American Dipper,Cinclus mexicanus,wetland/aquatic,wetland/aquatic,rarely/never,46.96,37.2,N,11.5,0.0016,417.6,-20.3,to coast,8,0.0074,14,0.6,0.1,1,54.9
Golden-crowned Kinglet,Regulus satrapa,land-based,woodland,occasionally,42.88,87.3,N,5.76,0.0214,211.8,-7.1,to coast,0.83,0.3683,55,1.2,0.7,1.6,92.7
Ruby-crowned Kinglet,Regulus calendula,land-based,woodland,regularly,34.23,45,N,26.02,<0.0001,200,14,inland,20.59,<0.0001,50,1.1,0.8,1.4,73.5
Blue-gray Gnatcatcher,Polioptila caerulea,land-based,woodland,rarely/never,30.16,-8.7,S,2.32,0.1362,89.1,-6.9,to coast,1.47,0.2321,26,1.2,0.6,1.8,23.6
Eastern Bluebird,Sialia sialis,land-based,woodland,regularly,35.13,114.5,N,137.31,<0.0001,294.8,37.1,inland,13.54,0.0007,38,3.6,3.1,4,73.6
Western Bluebird,Sialia mexicana,land-based,woodland,occasionally,36.16,2.3,N,0.06,0.8098,318.5,93.4,inland,41,<0.0001,11,1.4,0.3,2.4,47.9
Mountain Bluebird,Sialia currucoides,land-based,shrubland,occasionally,35.39,-71,S,15.8,0.0003,539.8,180.2,inland,41.81,<0.0001,17,-0.25,-6.3,3.1,68.7
Townsend's Solitaire,Myadestes townsendi,land-based,woodland,occasionally,39.52,99.2,N,6.31,0.0164,603.5,42.3,inland,19.97,<0.0001,28,0.6,-0.6,1.6,86.4
Hermit Thrush,Catharus guttatus,land-based,woodland,occasionally,34.61,91.4,N,35.89,<0.0001,197.8,24.7,inland,26.5,<0.0001,48,1.3,0.8,1.8,66
American Robin,Turdus migratorius,land-based,woodland,occasionally,35.59,206,N,38.93,<0.0001,250.5,137.2,inland,55.42,<0.0001,55,0.5,-0.3,1.1,85
Varied Thrush,Ixoreus naevius,land-based,woodland,regularly,47.26,229.9,N,13.86,0.0006,133.5,-4.9,to coast,3.57,0.0664,28,0.3,-1.4,1.8,92.4
Gray Catbird,Dumetella carolinensis,land-based,shrubland,occasionally,30.34,21.2,N,5.5,0.0243,56.3,6.1,inland,3.43,0.0718,43,1.1,0.5,1.7,38.1
Northern Mockingbird,Mimus polyglottos,land-based,shrubland,occasionally,33.37,13.5,N,5.75,0.0215,208.6,1.9,inland,0.3,0.5864,50,-0.61,-0.8,-0.4,81
Sage Thrasher,Oreoscoptes montanus,land-based,shrubland,occasionally,34.03,67.7,N,82.84,<0.0001,504.7,148.1,inland,30.15,<0.0001,8,2.4,0,4.8,52.2
Brown Thrasher,Toxostoma rufum,land-based,shrubland,occasionally,32.91,34.3,N,57.2,<0.0001,185.7,14.1,inland,27.06,<0.0001,45,-2.45,-2.8,-2.1,99
European Starling,Sturnus vulgaris,land-based,generalist,regularly,39.56,85.6,N,187.62,<0.0001,395.8,77.4,inland,203.62,<0.0001,55,0.7,0.4,1,65.7
American Pipit,Anthus rubescens,land-based,grassland,rarely/never,34.69,-86.2,S,51.44,<0.0001,209,-34.4,to coast,67.27,<0.0001,44,-0.97,-1.8,-0.1,57.2
Sprague's Pipit,Anthus spragueii,land-based,grassland,rarely/never,31.62,7.8,N,16.7,0.0002,243.2,37.5,inland,387.52,<0.0001,9,-3.23,-5.6,-1.5,43.3
Bohemian Waxwing,Bombycilla garrulus,land-based,woodland,occasionally,47.63,111.2,N,9.16,0.0044,588.3,-28.9,to coast,1.75,0.1936,33,-1.01,-4.5,2.1,66.7
Cedar Waxwing,Bombycilla cedrorum,land-based,woodland,occasionally,36,189.2,N,49.43,<0.0001,328.2,162.9,inland,56.46,<0.0001,55,2.4,1.3,3.2,74.8
Orange-crowned Warbler,Vermivora celata,land-based,generalist,occasionally,32.11,32.2,N,41.92,<0.0001,198.7,20.5,inland,28.79,<0.0001,36,2.7,2.2,3.3,51.1
Nashville Warbler,Vermivora ruficapilla,land-based,woodland,rarely/never,33.53,79.3,N,31.31,<0.0001,210.9,-38.7,to coast,112.67,<0.0001,18,0.8,-0.7,2.3,8.3
Yellow-rumped Warbler,Dendroica coronata,land-based,woodland,occasionally,32.76,6.7,N,0.24,0.626,145.9,15,inland,8.61,0.0056,51,2.5,2,2.9,58.7
Townsend's Warbler,Dendroica townsendi,land-based,woodland,occasionally,40.64,-11.8,S,0.28,0.599,144.2,-21,to coast,62.99,<0.0001,8,6.1,4.8,7.3,16.2
Yellow-throated Warbler,Dendroica dominica,land-based,woodland,occasionally,29.5,-25.6,S,37.81,<0.0001,42.5,-14.2,to coast,18.77,0.0001,11,-1.01,-1.7,-0.4,27.5
Pine Warbler,Dendroica pinus,land-based,woodland,occasionally,32.42,-32.3,S,177.2,<0.0001,136.8,5.3,inland,5.3,0.0269,31,3.2,2.6,3.8,92.1
Prairie Warbler,Dendroica discolor,land-based,shrubland,rarely/never,29.11,17.3,N,23.27,<0.0001,25.7,2.9,inland,3.78,0.0594,14,-0.93,-1.8,-0.1,25.5
Palm Warbler,Dendroica palmarum,land-based,generalist,rarely/never,29.19,4.8,N,1.46,0.2337,26.6,4.4,inland,9.42,0.0039,32,1.6,0.7,2.5,47.9
Black-and-white Warbler,Mniotilta varia,land-based,woodland,occasionally,30,22.7,N,21.02,<0.0001,63.7,20.5,inland,43.52,<0.0001,18,-0.09,-0.7,0.5,9.3
Ovenbird,Seiurus aurocapilla,land-based,woodland,rarely/never,29.25,23.6,N,79.15,<0.0001,36.4,11.3,inland,30.02,<0.0001,16,-0.81,-1.9,0.2,5.3
Common Yellowthroat,Geothlypis trichas,land-based,shrubland,rarely/never,31.08,109.3,N,759.56,<0.0001,94,46.1,inland,258.16,<0.0001,39,-0.22,-0.8,0.3,24.9
Wilson's Warbler,Wilsonia pusilla,land-based,shrubland,rarely/never,32.36,-46.9,S,14.36,0.0005,172.9,-61.8,to coast,42,<0.0001,18,1.1,-0.5,2.5,5.2
Green-tailed Towhee,Pipilo chlorurus,land-based,shrubland,occasionally,34.05,13.3,N,6.2,0.0173,403.5,36.1,inland,19.93,<0.0001,7,1.4,-0.3,3.1,39.4
"""Rufous-sided"" Towhee (lumped)",,land-based,shrubland,occasionally,36.16,215,N,1678.67,<0.0001,203,22.7,inland,42.11,<0.0001,53,-1.05,-1.4,-0.7,86.1
"""Brown"" Towhee (lumped)",,land-based,shrubland,occasionally,35.9,15,N,7.4,0.0098,282.4,-20.5,to coast,3.18,0.0823,6,-0.63,-1,-0.2,44.3
Bachman's Sparrow,Aimophila aestivalis,land-based,woodland,rarely/never,31.02,15.6,N,18.49,0.0001,106.2,-25.9,to coast,34.85,<0.0001,7,-7.45,-10.5,-5,99.6
Rufous-crowned Sparrow,Aimophila ruficeps,land-based,shrubland,occasionally,33.93,63.8,N,64.03,<0.0001,367.2,-48.6,to coast,17.96,0.0001,7,-1.73,-3,-0.7,54.1
American Tree Sparrow,Spizella arborea,land-based,shrubland,regularly,41.03,54.3,N,45.61,<0.0001,659.5,10.1,inland,1.16,0.2887,53,-2.16,-21.1,-1.6,99.6
Chipping Sparrow,Spizella passerina,land-based,woodland,occasionally,32.72,11.4,N,7.79,0.0082,189,-18.7,to coast,12.73,0.001,51,4.3,3.4,5.1,33.9
Field Sparrow,Spizella pusilla,land-based,shrubland,occasionally,34.65,11.7,N,3.89,0.056,253,64.8,inland,889.3,<0.0001,40,-3.16,-3.6,-2.7,94.6
Vesper Sparrow,Pooecetes gramineus,land-based,grassland,rarely/never,32.55,-8.3,S,1.48,0.2314,281.8,25.5,inland,15.08,0.0004,40,-2.03,-3,-1,57.9
Lark Sparrow,Chondestes grammacus,land-based,generalist,occasionally,35.78,44.5,N,14.78,0.0004,187.9,3.9,inland,0.29,0.5908,26,-2.69,-3.7,-1.5,35.4
Sage Sparrow,Amphispiza belli,land-based,shrubland,rarely/never,37.64,-115.6,S,565.18,<0.0001,384.5,45.5,inland,73.56,<0.0001,7,-5.08,-7.5,-2.9,74.9
Savannah Sparrow,Passerculus sandwichensis,land-based,grassland,occasionally,33.05,-32.1,S,30.64,<0.0001,183.2,27.9,inland,68.5,<0.0001,47,1.3,0.6,1.8,58.7
Grasshopper Sparrow,Ammodramus savannarum,land-based,grassland,rarely/never,31.62,23,N,10.27,0.0027,217.2,48.4,inland,36.21,<0.0001,21,-0.65,-1.9,0.6,37
Henslow's Sparrow,Ammodramus henslowii,land-based,grassland,rarely/never,31.67,-2.2,S,0.12,0.7321,151.5,28.6,inland,13.22,0.0008,9,0.8,-1.6,3.6,99.3
Le Conte's Sparrow,Ammodramus leconteii,wetland/aquatic,wetland/aquatic,rarely/never,32.78,-25.6,S,9.83,0.0033,267.9,5.4,inland,1.08,0.305,19,0.5,-0.8,1.6,99.6
"""Sharp-tailed"" Sparrow (lumped)",,coastal,coastal,rarely/never,32.71,37.3,N,168.29,<0.0001,,,,,,15,-1.43,-3.9,0.9,96.1
Seaside Sparrow,Ammodramus maritimus,coastal,coastal,rarely/never,31.95,43,N,154.75,<0.0001,,,,,,14,-2.77,-5.5,0.6,95.1
Fox Sparrow,Passerella iliaca,land-based,shrubland,regularly,39.13,286.8,N,210.53,<0.0001,227.2,19.5,inland,8.97,0.0048,52,-0.37,-0.9,0.1,94.1
Song Sparrow,Melospiza melodia,land-based,shrubland,regularly,38.32,74.5,N,83.25,<0.0001,281.8,-10.9,to coast,5.55,0.0237,54,0.4,0.1,0.6,91.7
Lincoln's Sparrow,Melospiza lincolnii,land-based,shrubland,occasionally,33.69,165.3,N,279.81,<0.0001,265.5,-23,to coast,12.77,0.001,42,-0.08,-0.7,0.6,48.5
